unit,unit_emoji,level,lesson,vi,say,activities,emoji,type,min_age,max_age,de,en,fr,ko,ja,pic
Chữ hoa,🅰️,1,Chữ hoa nhóm 2: I E Ê U Ư,U u,u,,👧,letter,5,8,Großbuchstabe U (klein: u) wie in „Uyên“ (Vorname),capital letter U (lowercase u) as in “Uyên” (a first name),lettre majuscule U (minuscule u) comme dans « Uyên » (prénom),"대문자 U(소문자 u), 'Uyên'(이름)에서처럼",大文字U（小文字u）、「Uyên」（名前）のように,decor
Chữ hoa,🅰️,1,Chữ hoa nhóm 2: I E Ê U Ư,Ư ư,ư,,👍,letter,5,8,Großbuchstabe Ư (klein: ư) wie in „Ừ“ (Wort am Satzanfang),capital letter Ư (lowercase ư) as in “Ừ” (a word at the start of a sentence),lettre majuscule Ư (minuscule ư) comme dans « Ừ » (un mot en début de phrase),"대문자 Ư(소문자 ư), 'Ừ'(문장 첫머리 단어)에서처럼",大文字Ư（小文字ư）、「Ừ」（文頭の単語）のように,decor
Chữ hoa,🅰️,1,Chữ hoa nhóm 3: B M N L,B b,bờ,match_case pick_case trace listen_repeat,👦,letter,5,8,Großbuchstabe B (klein: b) wie in „Bình“ (Vorname),capital letter B (lowercase b) as in “Bình” (a first name),lettre majuscule B (minuscule b) comme dans « Bình » (prénom),"대문자 B(소문자 b), 'Bình'(이름)에서처럼",大文字B（小文字b）、「Bình」（名前）のように,decor
Chữ hoa,🅰️,1,Chữ hoa nhóm 3: B M N L,M m,mờ,,👧,letter,5,8,Großbuchstabe M (klein: m) wie in „Mai“ (Vorname),capital letter M (lowercase m) as in “Mai” (a first name),lettre majuscule M (minuscule m) comme dans « Mai » (prénom),"대문자 M(소문자 m), 'Mai'(이름)에서처럼",大文字M（小文字m）、「Mai」（名前）のように,decor
Chữ hoa,🅰️,1,Chữ hoa nhóm 3: B M N L,N n,nờ,,👦,letter,5,8,Großbuchstabe N (klein: n) wie in „Nam“ (Vorname),capital letter N (lowercase n) as in “Nam” (a first name),lettre majuscule N (minuscule n) comme dans « Nam » (prénom),"대문자 N(소문자 n), 'Nam'(이름)에서처럼",大文字N（小文字n）、「Nam」（名前）のように,decor
Chữ hoa,🅰️,1,Chữ hoa nhóm 3: B M N L,L l,lờ,,👧,letter,5,8,Großbuchstabe L (klein: l) wie in „Lan“ (Vorname),capital letter L (lowercase l) as in “Lan” (a first name),lettre majuscule L (minuscule l) comme dans « Lan » (prénom),"대문자 L(소문자 l), 'Lan'(이름)에서처럼",大文字L（小文字l）、「Lan」（名前）のように,decor
Chữ hoa,🅰️,1,Chữ hoa nhóm 4: T C K Q D Đ,T t,tờ,match_case pick_case trace listen_repeat,👧,letter,5,8,Großbuchstabe T (klein: t) wie in „Tâm“ (Vorname),capital letter T (lowercase t) as in “Tâm” (a first name),lettre majuscule T (minuscule t) comme dans « Tâm » (prénom),"대문자 T(소문자 t), 'Tâm'(이름)에서처럼",大文字T（小文字t）、「Tâm」（名前）のように,decor
Chữ hoa,🅰️,1,Chữ hoa nhóm 4: T C K Q D Đ,C c,cờ,,👧,letter,5,8,Großbuchstabe C (klein: c) wie in „Cúc“ (Vorname),capital letter C (lowercase c) as in “Cúc” (a first name),lettre majuscule C (minuscule c) comme dans « Cúc » (prénom),"대문자 C(소문자 c), 'Cúc'(이름)에서처럼",大文字C（小文字c）、「Cúc」（名前）のように,decor
Chữ hoa,🅰️,1,Chữ hoa nhóm 4: T C K Q D Đ,K k,cờ,,👧,letter,5,8,Großbuchstabe K (klein: k) wie in „Kim“ (Vorname),capital letter K (lowercase k) as in “Kim” (a first name),lettre majuscule K (minuscule k) comme dans « Kim » (prénom),"대문자 K(소문자 k), 'Kim'(이름)에서처럼",大文字K（小文字k）、「Kim」（名前）のように,decor
Chữ hoa,🅰️,1,Chữ hoa nhóm 4: T C K Q D Đ,Q q,cờ,,👦,letter,5,8,Großbuchstabe Q (klein: q) wie in „Quang“ (Vorname),capital letter Q (lowercase q) as in “Quang” (a first name),lettre majuscule Q (minuscule q) comme dans « Quang » (prénom),"대문자 Q(소문자 q), 'Quang'(이름)에서처럼",大文字Q（小文字q）、「Quang」（名前）のように,decor
Chữ hoa,🅰️,1,Chữ hoa nhóm 4: T C K Q D Đ,D d,dờ,,👧,letter,5,8,Großbuchstabe D (klein: d) wie in „Dung“ (Vorname),capital letter D (lowercase d) as in “Dung” (a first name),lettre majuscule D (minuscule d) comme dans « Dung » (prénom),"대문자 D(소문자 d), 'Dung'(이름)에서처럼",大文字D（小文字d）、「Dung」（名前）のように,decor
Chữ hoa,🅰️,1,Chữ hoa nhóm 4: T C K Q D Đ,Đ đ,đờ,,🌉,letter,5,8,Großbuchstabe Đ (klein: đ) wie in „Đà Nẵng“ (Ortsname),capital letter Đ (lowercase đ) as in “Đà Nẵng” (a place name),lettre majuscule Đ (minuscule đ) comme dans « Đà Nẵng » (un nom de lieu),"대문자 Đ(소문자 đ), 'Đà Nẵng'(지명)에서처럼",大文字Đ（小文字đ）、「Đà Nẵng」（地名）のように,decor
Chữ hoa,🅰️,1,Chữ hoa nhóm 5: H G R S V X,H h,hờ,match_case pick_case trace listen_repeat,🏛️,letter,5,8,Großbuchstabe H (klein: h) wie in „Hà Nội“ (Ortsname),capital letter H (lowercase h) as in “Hà Nội” (a place name),lettre majuscule H (minuscule h) comme dans « Hà Nội » (un nom de lieu),"대문자 H(소문자 h), 'Hà Nội'(지명)에서처럼",大文字H（小文字h）、「Hà Nội」（地名）のように,decor
Chữ hoa,🅰️,1,Chữ hoa nhóm 5: H G R S V X,G g,gờ,,🌄,letter,5,8,Großbuchstabe G (klein: g) wie in „Gia Lai“ (Ortsname),capital letter G (lowercase g) as in “Gia Lai” (a place name),lettre majuscule G (minuscule g) comme dans « Gia Lai » (un nom de lieu),"대문자 G(소문자 g), 'Gia Lai'(지명)에서처럼",大文字G（小文字g）、「Gia Lai」（地名）のように,decor
Chữ hoa,🅰️,1,Chữ hoa nhóm 5: H G R S V X,R r,rờ,,🌊,letter,5,8,Großbuchstabe R (klein: r) wie in „Rạch Giá“ (Ortsname),capital letter R (lowercase r) as in “Rạch Giá” (a place name),lettre majuscule R (minuscule r) comme dans « Rạch Giá » (un nom de lieu),"대문자 R(소문자 r), 'Rạch Giá'(지명)에서처럼",大文字R（小文字r）、「Rạch Giá」（地名）のように,decor
Chữ hoa,🅰️,1,Chữ hoa nhóm 5: H G R S V X,S s,sờ,,👦,letter,5,8,Großbuchstabe S (klein: s) wie in „Sơn“ (Vorname),capital letter S (lowercase s) as in “Sơn” (a first name),lettre majuscule S (minuscule s) comme dans « Sơn » (prénom),"대문자 S(소문자 s), 'Sơn'(이름)에서처럼",大文字S（小文字s）、「Sơn」（名前）のように,decor
Chữ hoa,🅰️,1,Chữ hoa nhóm 5: H G R S V X,V v,vờ,,🌏,letter,5,8,Großbuchstabe V (klein: v) wie in „Việt Nam“ (Ortsname),capital letter V (lowercase v) as in “Việt Nam” (a place name),lettre majuscule V (minuscule v) comme dans « Việt Nam » (un nom de lieu),"대문자 V(소문자 v), 'Việt Nam'(지명)에서처럼",大文字V（小文字v）、「Việt Nam」（地名）のように,decor
Chữ hoa,🅰️,1,Chữ hoa nhóm 5: H G R S V X,X x,xờ,,🌸,letter,5,8,Großbuchstabe X (klein: x) wie in „Xuân“ (Vorname),capital letter X (lowercase x) as in “Xuân” (a first name),lettre majuscule X (minuscule x) comme dans « Xuân » (prénom),"대문자 X(소문자 x), 'Xuân'(이름)에서처럼",大文字X（小文字x）、「Xuân」（名前）のように,decor
Chữ hoa,🅰️,1,Chữ hoa nhóm 6: Ă Â Y P,Ă ă,á,match_case pick_case trace listen_repeat,🍚,letter,5,8,Großbuchstabe Ă (klein: ă) wie in „Ăn“ (Wort am Satzanfang),capital letter Ă (lowercase ă) as in “Ăn” (a word at the start of a sentence),lettre majuscule Ă (minuscule ă) comme dans « Ăn » (un mot en début de phrase),"대문자 Ă(소문자 ă), 'Ăn'(문장 첫머리 단어)에서처럼",大文字Ă（小文字ă）、「Ăn」（文頭の単語）のように,decor
Chữ hoa,🅰️,1,Chữ hoa nhóm 6: Ă Â Y P,Â â,ớ,,🧚,letter,5,8,Großbuchstabe Â (klein: â) wie in „Âu Cơ“ (Vorname),capital letter Â (lowercase â) as in “Âu Cơ” (a first name),lettre majuscule Â (minuscule â) comme dans « Âu Cơ » (prénom),"대문자 Â(소문자 â), 'Âu Cơ'(이름)에서처럼",大文字Â（小文字â）、「Âu Cơ」（名前）のように,decor
Chữ hoa,🅰️,1,Chữ hoa nhóm 6: Ă Â Y P,Y y,i dài,,⛰️,letter,5,8,Großbuchstabe Y (klein: y) wie in „Yên Bái“ (Ortsname),capital letter Y (lowercase y) as in “Yên Bái” (a place name),lettre majuscule Y (minuscule y) comme dans « Yên Bái » (un nom de lieu),"대문자 Y(소문자 y), 'Yên Bái'(지명)에서처럼",大文字Y（小文字y）、「Yên Bái」（地名）のように,decor
Chữ hoa,🅰️,1,Chữ hoa nhóm 6: Ă Â Y P,P p,pờ,,🌲,letter,5,8,Großbuchstabe P (klein: p) wie in „Pleiku“ (Ortsname),capital letter P (lowercase p) as in “Pleiku” (a place name),lettre majuscule P (minuscule p) comme dans « Pleiku » (un nom de lieu),"대문자 P(소문자 p), 'Pleiku'(지명)에서처럼",大文字P（小文字p）、「Pleiku」（地名）のように,decor
Chữ hoa,🅰️,1,Chữ hoa ghép 1: Ch Gh Gi Kh Ng Ngh,Ch ch,chờ,match_case pick_case trace listen_repeat,👧,letter,5,8,Großbuchstabe Ch (klein: ch) wie in „Chi“ (Vorname),capital letter Ch (lowercase ch) as in “Chi” (a first name),lettre majuscule Ch (minuscule ch) comme dans « Chi » (prénom),"대문자 Ch(소문자 ch), 'Chi'(이름)에서처럼",大文字Ch（小文字ch）、「Chi」（名前）のように,decor
Chữ hoa,🅰️,1,Chữ hoa ghép 1: Ch Gh Gi Kh Ng Ngh,Gh gh,gờ,,🏖️,letter,5,8,Großbuchstabe Gh (klein: gh) wie in „Ghềnh Ráng“ (Ortsname),capital letter Gh (lowercase gh) as in “Ghềnh Ráng” (a place name),lettre majuscule Gh (minuscule gh) comme dans « Ghềnh Ráng » (un nom de lieu),"대문자 Gh(소문자 gh), 'Ghềnh Ráng'(지명)에서처럼",大文字Gh（小文字gh）、「Ghềnh Ráng」（地名）のように,decor
Chữ hoa,🅰️,1,Chữ hoa ghép 1: Ch Gh Gi Kh Ng Ngh,Gi gi,giờ,,👧,letter,5,8,Großbuchstabe Gi (klein: gi) wie in „Giang“ (Vorname),capital letter Gi (lowercase gi) as in “Giang” (a first name),lettre majuscule Gi (minuscule gi) comme dans « Giang » (prénom),"대문자 Gi(소문자 gi), 'Giang'(이름)에서처럼",大文字Gi（小文字gi）、「Giang」（名前）のように,decor
Chữ hoa,🅰️,1,Chữ hoa ghép 1: Ch Gh Gi Kh Ng Ngh,Kh kh,khờ,,👦,letter,5,8,Großbuchstabe Kh (klein: kh) wie in „Khoa“ (Vorname),capital letter Kh (lowercase kh) as in “Khoa” (a first name),lettre majuscule Kh (minuscule kh) comme dans « Khoa » (prénom),"대문자 Kh(소문자 kh), 'Khoa'(이름)에서처럼",大文字Kh（小文字kh）、「Khoa」（名前）のように,decor
Chữ hoa,🅰️,1,Chữ hoa ghép 1: Ch Gh Gi Kh Ng Ngh,Ng ng,ngờ,,👧,letter,5,8,Großbuchstabe Ng (klein: ng) wie in „Nga“ (Vorname),capital letter Ng (lowercase ng) as in “Nga” (a first name),lettre majuscule Ng (minuscule ng) comme dans « Nga » (prénom),"대문자 Ng(소문자 ng), 'Nga'(이름)에서처럼",大文字Ng（小文字ng）、「Nga」（名前）のように,decor
Chữ hoa,🅰️,1,Chữ hoa ghép 1: Ch Gh Gi Kh Ng Ngh,Ngh ngh,ngờ,,👦,letter,5,8,Großbuchstabe Ngh (klein: ngh) wie in „Nghĩa“ (Vorname),capital letter Ngh (lowercase ngh) as in “Nghĩa” (a first name),lettre majuscule Ngh (minuscule ngh) comme dans « Nghĩa » (prénom),"대문자 Ngh(소문자 ngh), 'Nghĩa'(이름)에서처럼",大文字Ngh（小文字ngh）、「Nghĩa」（名前）のように,decor
Chữ hoa,🅰️,1,Chữ hoa ghép 2: Nh Ph Qu Th Tr,Nh nh,nhờ,match_case pick_case trace listen_repeat,👧,letter,5,8,Großbuchstabe Nh (klein: nh) wie in „Nhung“ (Vorname),capital letter Nh (lowercase nh) as in “Nhung” (a first name),lettre majuscule Nh (minuscule nh) comme dans « Nhung » (prénom),"대문자 Nh(소문자 nh), 'Nhung'(이름)에서처럼",大文字Nh（小文字nh）、「Nhung」（名前）のように,decor
Chữ hoa,🅰️,1,Chữ hoa ghép 2: Nh Ph Qu Th Tr,Ph ph,phờ,,👦,letter,5,8,Großbuchstabe Ph (klein: ph) wie in „Phúc“ (Vorname),capital letter Ph (lowercase ph) as in “Phúc” (a first name),lettre majuscule Ph (minuscule ph) comme dans « Phúc » (prénom),"대문자 Ph(소문자 ph), 'Phúc'(이름)에서처럼",大文字Ph（小文字ph）、「Phúc」（名前）のように,decor
Chữ hoa,🅰️,1,Chữ hoa ghép 2: Nh Ph Qu Th Tr,Qu qu,quờ,,👧,letter,5,8,Großbuchstabe Qu (klein: qu) wie in „Quyên“ (Vorname),capital letter Qu (lowercase qu) as in “Quyên” (a first name),lettre majuscule Qu (minuscule qu) comme dans « Quyên » (prénom),"대문자 Qu(소문자 qu), 'Quyên'(이름)에서처럼",大文字Qu（小文字qu）、「Quyên」（名前）のように,decor
Chữ hoa,🅰️,1,Chữ hoa ghép 2: Nh Ph Qu Th Tr,Th th,thờ,,👧,letter,5,8,Großbuchstabe Th (klein: th) wie in „Thảo“ (Vorname),capital letter Th (lowercase th) as in “Thảo” (a first name),lettre majuscule Th (minuscule th) comme dans « Thảo » (prénom),"대문자 Th(소문자 th), 'Thảo'(이름)에서처럼",大文字Th（小文字th）、「Thảo」（名前）のように,decor
Chữ hoa,🅰️,1,Chữ hoa ghép 2: Nh Ph Qu Th Tr,Tr tr,trờ,,👧,letter,5,8,Großbuchstabe Tr (klein: tr) wie in „Trang“ (Vorname),capital letter Tr (lowercase tr) as in “Trang” (a first name),lettre majuscule Tr (minuscule tr) comme dans « Trang » (prénom),"대문자 Tr(소문자 tr), 'Trang'(이름)에서처럼",大文字Tr（小文字tr）、「Trang」（名前）のように,decor
Chữ hoa,🅰️,1,Tên riêng viết hoa,An và Mai đi học.,,fix_capital write_check order_words listen_repeat,🎒,sentence,5,8,An und Mai gehen zur Schule.,An and Mai go to school.,An et Mai vont à l'école.,안과 마이는 학교에 가요.,アンとマイは学校に行きます。,decor
Chữ hoa,🅰️,1,Tên riêng viết hoa,Bà ở Hà Nội.,,,👵,sentence,5,8,Oma wohnt in Hanoi.,Grandma lives in Hanoi.,Grand-mère habite à Hanoï.,할머니는 하노이에 살아요.,おばあちゃんはハノイに住んでいます。,decor
Chữ hoa,🅰️,1,Tên riêng viết hoa,Cô Hoa dạy em hát.,,,🎤,sentence,5,8,Frau Hoa bringt mir das Singen bei.,Ms Hoa teaches me to sing.,Mme Hoa m'apprend à chanter.,호아 선생님이 저에게 노래를 가르쳐 줘요.,ホア先生が私に歌を教えてくれます。,decor
Chữ hoa,🅰️,1,Tên riêng viết hoa,Nam và Bình chơi bóng.,,,⚽,sentence,5,8,Nam und Bình spielen Ball.,Nam and Bình play ball.,Nam et Bình jouent au ballon.,남과 빈이 공놀이를 해요.,ナムとビンはボール遊びをします。,decor
Chữ hoa,🅰️,1,Tên riêng viết hoa,Mẹ đưa Lan đến trường.,,,🏫,sentence,5,8,Mama bringt Lan zur Schule.,Mum takes Lan to school.,Maman emmène Lan à l'école.,엄마가 란을 학교에 데려다줘요.,ママがランを学校に連れて行きます。,decor
Chữ hoa,🅰️,1,Tên riêng viết hoa,Ông kể chuyện về Thánh Gióng.,,,📖,sentence,5,8,Opa erzählt die Geschichte von Thánh Gióng.,Grandpa tells the story of Thánh Gióng.,Grand-père raconte l'histoire de Thánh Gióng.,할아버지가 탄지옹 이야기를 해줘요.,おじいちゃんがタイン・ザオンの話をしてくれます。,decor
Ghép âm với nguyên âm,🧩,1,Vần a,ba,,spell_along build_syllable read_pick listen_repeat,3️⃣,word,5,8,drei,three,trois,셋,三,
Ghép âm với nguyên âm,🧩,1,Vần a,bà,,,👵,word,5,8,Oma,grandmother,grand-mère,할머니,おばあちゃん,
Ghép âm với nguyên âm,🧩,1,Vần a,cá,,,🐟,word,5,8,Fisch,fish,poisson,물고기,魚,
Ghép âm với nguyên âm,🧩,1,Vần a,gà,,,🐔,word,5,8,Huhn,chicken,poule,닭,にわとり,
Ghép âm với nguyên âm,🧩,1,Vần a,lá,,,🍃,word,5,8,Blatt,leaf,feuille,잎,葉,
Ghép âm với nguyên âm,🧩,1,Vần a,nhà,,,🏠,word,5,8,Haus,house,maison,집,家,
Ghép âm với nguyên âm,🧩,1,"Vần e, ê",xe,,spell_along build_syllable read_pick listen_repeat,🚗,word,5,8,"Fahrzeug, Auto","vehicle, car","véhicule, voiture",차,車,
Ghép âm với nguyên âm,🧩,1,"Vần e, ê",bé,,,👶,word,5,8,"Baby, klein","baby, small","bébé, petit","아기, 작은",赤ちゃん、小さい,
Ghép âm với nguyên âm,🧩,1,"Vần e, ê",mẹ,,,👩,word,5,8,Mutter,mother,mère,어머니,母,
Ghép âm với nguyên âm,🧩,1,"Vần e, ê",chè,,,🍵,word,5,8,Tee,tea,thé,차,お茶,
Ghép âm với nguyên âm,🧩,1,"Vần e, ê",nghé,,,🐃,word,5,8,Büffelkalb,baby buffalo,bufflon,아기 물소,子水牛,
Ghép âm với nguyên âm,🧩,1,"Vần e, ê",dê,,,🐐,word,5,8,Ziege,goat,chèvre,염소,やぎ,
Ghép âm với nguyên âm,🧩,1,"Vần e, ê",hè,,,☀️,word,5,8,Sommer,summer,été,여름,夏,
Ghép âm với nguyên âm,🧩,1,Vần i,bi,,spell_along build_syllable read_pick listen_repeat,⚪,word,5,8,Murmel,marble,bille,구슬,ビー玉,
Ghép âm với nguyên âm,🧩,1,Vần i,bí,,,🎃,word,5,8,Kürbis,pumpkin,courge,호박,かぼちゃ,
Ghép âm với nguyên âm,🧩,1,Vần i,mì,,,🍜,word,5,8,Nudeln,noodles,nouilles,국수,麺,
Ghép âm với nguyên âm,🧩,1,Vần i,khỉ,,,🐒,word,5,8,Affe,monkey,singe,원숭이,さる,
Ghép âm với nguyên âm,🧩,1,Vần i,chị,,,👧,word,5,8,ältere Schwester,older sister,grande sœur,누나/언니,お姉ちゃん,
Ghép âm với nguyên âm,🧩,1,Vần i,đi,,,🚶,word,5,8,gehen,to go,aller,가다,行く,
Ghép âm với nguyên âm,🧩,1,"Vần o, ô, ơ",bò,,spell_along build_syllable read_pick listen_repeat,🐄,word,5,8,Kuh,cow,vache,소,牛,
Ghép âm với nguyên âm,🧩,1,"Vần o, ô, ơ",cô,,,👩‍🏫,word,5,8,"Lehrerin, Tante","teacher, aunt","institutrice, tante","선생님, 이모",先生、おばさん,
Ghép âm với nguyên âm,🧩,1,"Vần o, ô, ơ",cờ,,,🚩,word,5,8,Fahne,flag,drapeau,깃발,旗,
Ghép âm với nguyên âm,🧩,1,"Vần o, ô, ơ",bơ,,,🥑,word,5,8,Avocado,avocado,avocat,아보카도,アボカド,
Ghép âm với nguyên âm,🧩,1,"Vần o, ô, ơ",ô,,,☂️,word,5,8,Schirm,umbrella,parapluie,우산,傘,
Ghép âm với nguyên âm,🧩,1,"Vần o, ô, ơ",hồ,,,🏞️,word,5,8,See,lake,lac,호수,湖,
Ghép âm với nguyên âm,🧩,1,"Vần o, ô, ơ",nơ,,,🎀,word,5,8,Schleife,bow,nœud,리본,リボン,
Ghép âm với nguyên âm,🧩,1,"Vần o, ô, ơ",cỏ,,,🌿,word,5,8,Gras,grass,herbe,풀,草,
Ghép âm với nguyên âm,🧩,1,"Vần u, ư",mũ,,spell_along build_syllable read_pick listen_repeat,🎩,word,5,8,Hut,hat,chapeau,모자,帽子,
Ghép âm với nguyên âm,🧩,1,"Vần u, ư",thú,,,🐻,word,5,8,Tier,animal,animal,동물,動物,
Ghép âm với nguyên âm,🧩,1,"Vần u, ư",củ,,,🥕,word,5,8,"Knolle, Rübe",root vegetable,tubercule,뿌리채소,芋,
Ghép âm với nguyên âm,🧩,1,"Vần u, ư",chữ,,,🔤,word,5,8,"Buchstabe, Schrift","letter, writing",écriture,글자,文字,
Ghép âm với nguyên âm,🧩,1,"Vần u, ư",thư,,,✉️,word,5,8,Brief,letter (mail),lettre (courrier),편지,手紙,
Ghép âm với nguyên âm,🧩,1,"Vần u, ư",tủ,,,🗄️,word,5,8,Schrank,cupboard,armoire,장롱,戸棚,
Ghép âm với nguyên âm,🧩,1,"Vần u, ư",cú,,,🦉,word,5,8,Eule,owl,hibou,부엉이,フクロウ,
Vần có âm cuối,🔗,1,"Vần an, ăn, ân",đàn,,spell_along build_syllable read_pick listen_repeat,🎻,word,5,8,Instrument,musical instrument,instrument de musique,악기,楽器,
Vần có âm cuối,🔗,1,"Vần an, ăn, ân",bạn,,,👫,word,5,8,Freund,friend,ami,친구,友達,
Vần có âm cuối,🔗,1,"Vần an, ăn, ân",lan,,,🌺,word,5,8,Orchidee,orchid,orchidée,난초,蘭,
Vần có âm cuối,🔗,1,"Vần an, ăn, ân",ăn,,,🍚,word,5,8,essen,to eat,manger,먹다,食べる,
Vần có âm cuối,🔗,1,"Vần an, ăn, ân",cân,,,⚖️,word,5,8,Waage,scale,balance,저울,はかり,
Vần có âm cuối,🔗,1,"Vần an, ăn, ân",chân,,,🦶,word,5,8,"Fuß, Bein","foot, leg","pied, jambe","발, 다리",足,
Vần có âm cuối,🔗,1,"Vần an, ăn, ân",mận,,,🍑,word,5,8,Pflaume,plum,prune,자두,すもも,
Vần có âm cuối,🔗,1,"Vần am, ăm, âm",cam,,spell_along build_syllable read_pick listen_repeat,🍊,word,5,8,Orange,orange,orange,오렌지,オレンジ,
Vần có âm cuối,🔗,1,"Vần am, ăm, âm",tắm,,,🛁,word,5,8,baden,to bathe,se laver,목욕하다,お風呂に入る,
Vần có âm cuối,🔗,1,"Vần am, ăm, âm",ấm,,,☕,word,5,8,Teekanne,teapot,théière,주전자,急須,
Vần có âm cuối,🔗,1,"Vần am, ăm, âm",nấm,,,🍄,word,5,8,Pilz,mushroom,champignon,버섯,きのこ,
Vần có âm cuối,🔗,1,"Vần am, ăm, âm",mâm,,,🍽️,word,5,8,Tablett,tray,plateau,쟁반,お盆,
Vần có âm cuối,🔗,1,"Vần am, ăm, âm",nằm,,,🛌,word,5,8,liegen,to lie down,s'allonger,눕다,横になる,
Vần có âm cuối,🔗,1,"Vần at, ăt, ât",hát,,spell_along build_syllable read_pick listen_repeat,🎤,word,5,8,singen,to sing,chanter,노래하다,歌う,
Vần có âm cuối,🔗,1,"Vần at, ăt, ât",cát,,,🏖️,word,5,8,Sand,sand,sable,모래,砂,
Vần có âm cuối,🔗,1,"Vần at, ăt, ât",bát,,,🥣,word,5,8,Schüssel,bowl,bol,그릇,お茶碗,
Vần có âm cuối,🔗,1,"Vần at, ăt, ât",mắt,,,👁️,word,5,8,Auge,eye,œil,눈,目,
Vần có âm cuối,🔗,1,"Vần at, ăt, ât",tất,,,🧦,word,5,8,Socken,socks,chaussettes,양말,くつ下,
Vần có âm cuối,🔗,1,"Vần at, ăt, ât",mật,,,🍯,word,5,8,Honig,honey,miel,꿀,蜂蜜,
Vần có âm cuối,🔗,1,"Vần at, ăt, ât",cắt,,,✂️,word,5,8,schneiden,to cut,couper,자르다,切る,
Vần có âm cuối,🔗,1,"Vần ang, anh",vàng,,spell_along build_syllable read_pick listen_repeat,🥇,word,5,8,"Gold, gelb","gold, yellow","or, jaune","금, 노란색",金、黄色,
Vần có âm cuối,🔗,1,"Vần ang, anh",tháng,,,📅,word,5,8,Monat,month,mois,달(월),月,
Vần có âm cuối,🔗,1,"Vần ang, anh",trang,,,📄,word,5,8,Seite,page,page,페이지,ページ,
Vần có âm cuối,🔗,1,"Vần ang, anh",sáng,,,🌅,word,5,8,Morgen,morning,matin,아침,朝,
Vần có âm cuối,🔗,1,"Vần ang, anh",chanh,,,🍋,word,5,8,Limette,lime,citron vert,라임,ライム,
Vần có âm cuối,🔗,1,"Vần ang, anh",xanh,,,🍀,word,5,8,"grün, blau","green, blue","vert, bleu","초록색, 파란색",緑、青,
Vần có âm cuối,🔗,1,"Vần ang, anh",canh,,,🍲,word,5,8,Suppe,soup,soupe,국,スープ,
Vần có âm cuối,🔗,1,"Vần ang, anh",tranh,,,🖼️,word,5,8,Bild,painting,peinture,그림,絵,
Vần có âm cuối,🔗,1,"Vần ang, anh",bánh,,,🥮,word,5,8,Kuchen,cake,gâteau,"떡, 과자",お菓子,
Vần có âm cuối,🔗,1,"Vần ac, ach, uc, ưc",sách,,spell_along build_syllable read_pick listen_repeat,📚,word,5,8,Buch,book,livre,책,本,
Vần có âm cuối,🔗,1,"Vần ac, ach, uc, ưc",lạc,,,🥜,word,5,8,Erdnuss,peanut,cacahuète,땅콩,落花生,
Vần có âm cuối,🔗,1,"Vần ac, ach, uc, ưc",nhạc,,,🎵,word,5,8,Musik,music,musique,음악,音楽,
Vần có âm cuối,🔗,1,"Vần ac, ach, uc, ưc",thác,,,🌊,word,5,8,Wasserfall,waterfall,cascade,폭포,滝,
Vần có âm cuối,🔗,1,"Vần ac, ach, uc, ưc",gạch,,,🧱,word,5,8,Ziegelstein,brick,brique,벽돌,レンガ,
Vần có âm cuối,🔗,1,"Vần ac, ach, uc, ưc",cúc,,,🌼,word,5,8,Chrysantheme,chrysanthemum,chrysanthème,국화,菊,
Vần có âm cuối,🔗,1,"Vần ac, ach, uc, ưc",mực,,,🦑,word,5,8,"Tintenfisch, Tinte","squid, ink","calmar, encre","오징어, 잉크",イカ、インク,
Vần có âm cuối,🔗,1,"Vần en, ên, in, it",đèn,,spell_along build_syllable read_pick listen_repeat,💡,word,5,8,Lampe,lamp,lampe,등,ランプ,
Vần có âm cuối,🔗,1,"Vần en, ên, in, it",nến,,,🕯️,word,5,8,Kerze,candle,bougie,초,ろうそく,
Vần có âm cuối,🔗,1,"Vần en, ên, in, it",nhện,,,🕷️,word,5,8,Spinne,spider,araignée,거미,くも,
Vần có âm cuối,🔗,1,"Vần en, ên, in, it",vịt,,,🦆,word,5,8,Ente,duck,canard,오리,あひる,
Vần có âm cuối,🔗,1,"Vần en, ên, in, it",thịt,,,🥩,word,5,8,Fleisch,meat,viande,고기,肉,
Vần có âm cuối,🔗,1,"Vần en, ên, in, it",chín,,,9️⃣,word,5,8,"neun, reif","nine, ripe","neuf, mûr","아홉, 익은",九、熟れた,
Vần có âm cuối,🔗,1,"Vần on, ôm, ơm, ôp, ơp",nón,,spell_along build_syllable read_pick listen_repeat,👒,word,5,8,Kegelhut,conical hat,chapeau conique,논라(전통 모자),円錐笠,
Vần có âm cuối,🔗,1,"Vần on, ôm, ơm, ôp, ơp",tròn,,,⭕,word,5,8,rund,round,rond,둥근,丸い,
Vần có âm cuối,🔗,1,"Vần on, ôm, ơm, ôp, ơp",thơm,,,🍍,word,5,8,"Ananas, duftend","pineapple, fragrant","ananas, parfumé","파인애플, 향기로운",パイナップル、香りがいい,
Vần có âm cuối,🔗,1,"Vần on, ôm, ơm, ôp, ơp",tôm,,,🦐,word,5,8,Garnele,shrimp,crevette,새우,えび,
Vần có âm cuối,🔗,1,"Vần on, ôm, ơm, ôp, ơp",cơm,,,🍚,word,5,8,Reis (gekocht),cooked rice,riz cuit,밥,ご飯,
Vần có âm cuối,🔗,1,"Vần on, ôm, ơm, ôp, ơp",hộp,,,📦,word,5,8,Schachtel,box,boîte,상자,箱,
