unit,unit_emoji,level,lesson,vi,say,activities,choices,answer,emoji,type,min_age,max_age,de,en,fr,ko,ja,pic
Truyện cổ tích và truyền thuyết,🐉,4,Thánh Gióng (2),"Thắng giặc, chàng cưỡi ngựa bay về trời.",,,,,🐴☁️,sentence,6,8,Nach dem Sieg ritt er auf dem Pferd in den Himmel.,"After the victory, he rode his horse up into the sky.","Après avoir vaincu l'ennemi, il monta sur son cheval et s'envola vers le ciel.",적을 물리친 후 그는 말을 타고 하늘로 날아갔어요.,敵に勝った後、彼は馬に乗って空へ飛んでいきました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Thánh Gióng (2),"Dân ta nhớ ơn, gọi chàng là Thánh Gióng.",,,,,🙏,sentence,6,8,Das Volk gedachte seiner in Dankbarkeit und nannte ihn Thánh Gióng.,Our people remembered him with gratitude and called him Thánh Gióng.,"Notre peuple, reconnaissant, l'appela Thánh Gióng.",우리 백성들은 은혜를 기억하며 그를 탄지옹이라고 불렀어요.,私たちの民は恩を忘れず、彼をタイン・ザオンと呼びました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Thánh Gióng (2),"Khi roi sắt gãy, chàng dùng gì để đánh giặc?",,,những bụi tre|một cây kiếm|đá,1,,question,6,8,"Was benutzte er, als die Peitsche brach?",What did he use when the whip broke?,"Quand le fouet de fer s'est brisé, qu'a-t-il utilisé pour combattre ?",쇠 채찍이 부러졌을 때 그는 무엇으로 적을 물리쳤어요?,鉄の鞭が折れたとき、彼は何を使って敵と戦いましたか。,
Truyện cổ tích và truyền thuyết,🐉,4,Thánh Gióng (2),"Thắng giặc xong, chàng đi đâu?",,,bay về trời|về nhà|đi biển,1,,question,6,8,Wohin ging er nach dem Sieg?,Where did he go after winning?,"Après avoir vaincu l'ennemi, où est-il allé ?",적을 물리친 후 그는 어디로 갔어요?,敵に勝った後、彼はどこへ行きましたか。,
Truyện cổ tích và truyền thuyết,🐉,4,Sự tích Hồ Gươm,"Ngày xưa, giặc Minh sang cướp nước ta.",,read_quiz order_story fill_word listen_repeat,,,⚔️🏹,sentence,6,8,Vor langer Zeit fielen die Ming-Feinde in unser Land ein.,"Long ago, the Ming invaders came to seize our country.","Autrefois, les envahisseurs Ming vinrent envahir notre pays.",옛날에 명나라 적이 우리 나라를 침략해왔어요.,昔、明の敵が私たちの国を侵略しに来ました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Sự tích Hồ Gươm,Lê Lợi nổi dậy đánh giặc.,,,,,🧑🚩,sentence,6,8,Lê Lợi erhob sich gegen die Feinde.,Lê Lợi rose up to fight the invaders.,Lê Lợi se souleva pour combattre l'ennemi.,레 러이가 일어나 적과 싸웠어요.,レー・ロイが立ち上がり敵と戦いました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Sự tích Hồ Gươm,Long Quân cho ông mượn một thanh gươm thần.,,,,,🐉🗡️,sentence,6,8,Der Drachenkönig lieh ihm ein Zauberschwert.,The Dragon King lent him a magic sword.,Le roi Dragon lui prêta une épée magique.,용왕이 그에게 신비한 칼을 빌려주었어요.,龍王は彼に神秘の剣を貸しました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Sự tích Hồ Gươm,"Nhờ gươm thần, quân ta đánh thắng giặc.",,,,,🗡️🏆,sentence,6,8,Dank des Zauberschwerts besiegte unser Heer die Feinde.,"Thanks to the magic sword, our army defeated the invaders.","Grâce à l'épée magique, notre armée vainquit l'ennemi.",신비한 칼 덕분에 우리 군대는 적을 물리쳤어요.,神秘の剣のおかげで、私たちの軍は敵に勝ちました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Sự tích Hồ Gươm,"Sau chiến thắng, Rùa Vàng nổi lên đòi lại gươm.",,,,,🐢🌊,sentence,6,8,Nach dem Sieg tauchte die Goldene Schildkröte auf und verlangte das Schwert zurück.,"After the victory, the Golden Turtle surfaced and asked for the sword back.","Après la victoire, la Tortue d'Or émergea pour réclamer l'épée.",승리 후 금거북이 나타나 칼을 돌려달라고 했어요.,勝利の後、金の亀が現れて剣を返すよう求めました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Sự tích Hồ Gươm,"Lê Lợi trả gươm, hồ được gọi là Hồ Gươm.",,,,,🏞️🗡️,sentence,6,8,"Lê Lợi gab das Schwert zurück, und der See heißt seitdem Hồ Gươm (Schwertsee).","Lê Lợi returned the sword, and the lake is called Hồ Gươm (Sword Lake).","Lê Lợi rendit l'épée, et le lac fut appelé Hồ Gươm (lac de l'Épée).","레 러이가 칼을 돌려주었고, 그 호수는 호 구엄(검호)이라고 불려요.",レー・ロイが剣を返し、その湖はホー・グオム（剣の湖）と呼ばれます。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Sự tích Hồ Gươm,Ai nổi dậy đánh giặc Minh?,,,Lê Lợi|Lang Liêu|Thánh Gióng,1,,question,6,8,Wer erhob sich gegen die Ming-Feinde?,Who rose up against the Ming invaders?,Qui s'est soulevé contre les envahisseurs Ming ?,누가 명나라 적과 싸우기 위해 일어났어요?,誰が明の敵と戦うために立ち上がりましたか。,
Truyện cổ tích và truyền thuyết,🐉,4,Sự tích Hồ Gươm,Ai nổi lên đòi lại gươm?,,,Rùa Vàng|cá chép|rồng,1,,question,6,8,Wer verlangte das Schwert zurück?,Who asked for the sword back?,Qui a émergé pour réclamer l'épée ?,누가 나타나 칼을 돌려달라고 했어요?,誰が現れて剣を返すよう求めましたか。,
Truyện cổ tích và truyền thuyết,🐉,4,Con Rồng cháu Tiên,Lạc Long Quân là rồng ở dưới biển.,,read_quiz order_story fill_word listen_repeat,,,🐉🌊,sentence,6,8,"Lạc Long Quân war ein Drache, der im Meer lebte.",Lạc Long Quân was a dragon who lived under the sea.,Lạc Long Quân était un dragon qui vivait sous la mer.,락롱꿘은 바다 밑에 사는 용이었어요.,ラック・ロン・クアンは海の底に住む龍でした。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Con Rồng cháu Tiên,Âu Cơ là tiên ở trên núi.,,,,,🧚⛰️,sentence,6,8,"Âu Cơ war eine Fee, die auf dem Berg lebte.",Âu Cơ was a fairy who lived in the mountains.,Âu Cơ était une fée qui vivait sur la montagne.,어우꺼는 산 위에 사는 선녀였어요.,アウ・コーは山に住む仙女でした。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Con Rồng cháu Tiên,Hai người gặp nhau và kết thành vợ chồng.,,,,,💑,sentence,6,8,Die beiden trafen sich und wurden ein Ehepaar.,The two met and became husband and wife.,Ils se rencontrèrent et devinrent mari et femme.,두 사람은 만나서 부부가 되었어요.,二人は出会い夫婦になりました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Con Rồng cháu Tiên,"Âu Cơ sinh ra một bọc trăm trứng, nở ra một trăm người con.",,,,,🥚💯,sentence,6,8,"Âu Cơ gebar einen Beutel mit hundert Eiern, aus denen hundert Kinder schlüpften.","Âu Cơ gave birth to a sac of a hundred eggs, which hatched into a hundred children.","Âu Cơ donna naissance à un sac de cent œufs, qui éclorent en cent enfants.","어우꺼는 백 개의 알이 든 주머니를 낳았고, 거기서 백 명의 아이가 태어났어요.",アウ・コーは百個の卵の袋を産み、そこから百人の子供が生まれました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Con Rồng cháu Tiên,"Năm mươi người con theo cha xuống biển, năm mươi người con theo mẹ lên núi.",,,,,🌊⛰️,sentence,6,8,"Fünfzig Kinder folgten dem Vater ins Meer, fünfzig der Mutter auf den Berg.","Fifty children followed their father to the sea, fifty followed their mother to the mountains.","Cinquante enfants suivirent leur père vers la mer, cinquante suivirent leur mère vers la montagne.","쉰 명의 아이는 아버지를 따라 바다로, 쉰 명은 어머니를 따라 산으로 갔어요.",五十人の子供は父について海へ、五十人は母について山へ行きました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Con Rồng cháu Tiên,"Người con cả lên làm vua, gọi là Hùng Vương.",,,,,🤴👑,sentence,6,8,Das älteste Kind wurde König und hieß Hùng Vương.,"The eldest child became king, called Hùng Vương.","L'aîné devint roi, appelé Hùng Vương.","맏아들이 왕이 되었는데, 훙 브엉이라고 불려요.",長男が王になり、フン・ヴオンと呼ばれました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Con Rồng cháu Tiên,Lạc Long Quân sống ở đâu?,,,dưới biển|trên núi|trong rừng,1,,question,6,8,Wo lebte Lạc Long Quân?,Where did Lạc Long Quân live?,Où vivait Lạc Long Quân ?,락롱꿘은 어디에 살았어요?,ラック・ロン・クアンはどこに住んでいましたか。,
Truyện cổ tích và truyền thuyết,🐉,4,Con Rồng cháu Tiên,Có bao nhiêu người con theo mẹ lên núi?,,,năm mươi|mười|một trăm,1,,question,6,8,Wie viele Kinder folgten der Mutter auf den Berg?,How many children followed their mother to the mountains?,Combien d'enfants ont suivi leur mère vers la montagne ?,몇 명의 아이가 어머니를 따라 산으로 갔어요?,何人の子供が母について山へ行きましたか。,
Truyện cổ tích và truyền thuyết,🐉,4,Tấm Cám (1),"Ngày xưa, có cô Tấm mồ côi cả cha lẫn mẹ.",,read_quiz order_story fill_word listen_repeat,,,👧😢,sentence,6,8,"Es war einmal ein Mädchen namens Tấm, das keine Eltern mehr hatte.","Long ago, there was a girl named Tấm who had lost both her parents.","Autrefois, il y avait une fille nommée Tấm, orpheline de père et de mère.",옛날에 부모를 모두 여읜 떰이라는 소녀가 있었어요.,昔、両親を亡くしたタムという娘がいました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Tấm Cám (1),"Tấm sống với dì ghẻ và Cám, con của dì.",,,,,👧👩,sentence,6,8,"Tấm lebte bei ihrer Stiefmutter und Cám, deren Tochter.","Tấm lived with her stepmother and Cám, the stepmother's daughter.","Tấm vivait avec sa belle-mère et Cám, la fille de celle-ci.",떰은 계모와 계모의 딸 깜과 함께 살았어요.,タムは継母と継母の娘カムと一緒に暮らしていました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Tấm Cám (1),Dì ghẻ bắt Tấm làm việc suốt ngày.,,,,,👧🧹,sentence,6,8,Die Stiefmutter ließ Tấm den ganzen Tag arbeiten.,The stepmother made Tấm work all day.,La belle-mère forçait Tấm à travailler toute la journée.,계모는 떰에게 하루 종일 일을 시켰어요.,継母はタムに一日中働かせました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Tấm Cám (1),Còn Cám thì được ăn ngon và chơi cả ngày.,,,,,👧🍰,sentence,6,8,Cám dagegen bekam gutes Essen und spielte den ganzen Tag.,"Cám, on the other hand, ate well and played all day.","Quant à Cám, elle mangeait bien et jouait toute la journée.",반면 깜은 맛있는 음식을 먹고 하루 종일 놀았어요.,一方カムはおいしいものを食べて一日中遊んでいました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Tấm Cám (1),"Mỗi khi Tấm khóc, Bụt lại hiện lên giúp đỡ.",,,,,🧙✨,sentence,6,8,"Immer wenn Tấm weinte, erschien Bụt, um ihr zu helfen.","Whenever Tấm cried, Bụt appeared to help her.","Chaque fois que Tấm pleurait, Bụt apparaissait pour l'aider.",떰이 울 때마다 부처님이 나타나 도와주었어요.,タムが泣くたびに仏様が現れて助けてくれました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Tấm Cám (1),Tấm sống với ai?,,,dì ghẻ và Cám|bố và mẹ|bà ngoại,1,,question,6,8,Bei wem lebte Tấm?,Who did Tấm live with?,Avec qui Tấm vivait-elle ?,떰은 누구와 함께 살았어요?,タムは誰と一緒に暮らしていましたか。,
Truyện cổ tích và truyền thuyết,🐉,4,Tấm Cám (1),Ai hiện lên giúp đỡ Tấm?,,,Bụt|nhà vua|con cá,1,,question,6,8,"Wer erschien, um Tấm zu helfen?",Who appeared to help Tấm?,Qui apparaissait pour aider Tấm ?,누가 나타나 떰을 도와주었어요?,誰が現れてタムを助けましたか。,
Truyện cổ tích và truyền thuyết,🐉,4,Tấm Cám (2),"Nhờ Bụt, Tấm có quần áo đẹp để đi xem hội.",,read_quiz order_story fill_word listen_repeat,,,👗✨,sentence,6,8,Dank Bụt bekam Tấm schöne Kleider für das Fest.,"Thanks to Bụt, Tấm had beautiful clothes to go to the festival.","Grâce à Bụt, Tấm eut de beaux habits pour aller à la fête.",부처님 덕분에 떰은 축제에 갈 예쁜 옷을 갖게 되었어요.,仏様のおかげで、タムは祭りに行くきれいな服を手に入れました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Tấm Cám (2),"Trên đường chạy về, Tấm đánh rơi một chiếc giày.",,,,,🏃👟,sentence,6,8,Auf dem Heimweg verlor Tấm einen Schuh.,"Running home, Tấm dropped one shoe.","En courant pour rentrer, Tấm perdit une chaussure.",집으로 뛰어가던 중 떰은 신발 한 짝을 떨어뜨렸어요.,家に走って帰る途中、タムは靴を片方落としました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Tấm Cám (2),Nhà vua nhặt được giày và cho người đi tìm chủ nhân.,,,,,🤴🔍,sentence,6,8,Der König fand den Schuh und ließ die Besitzerin suchen.,The king found the shoe and had people search for its owner.,Le roi trouva la chaussure et envoya des gens chercher sa propriétaire.,왕이 신발을 주워서 주인을 찾으러 사람을 보냈어요.,王様は靴を拾い、持ち主を探すよう人を送りました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Tấm Cám (2),Chiếc giày vừa vặn với chân Tấm.,,,,,🦶👟,sentence,6,8,Der Schuh passte genau an Tấms Fuß.,The shoe fitted Tấm's foot perfectly.,La chaussure allait parfaitement au pied de Tấm.,그 신발은 떰의 발에 꼭 맞았어요.,その靴はタムの足にぴったり合いました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Tấm Cám (2),"Tấm trở thành hoàng hậu, sống hạnh phúc.",,,,,👸💖,sentence,6,8,Tấm wurde Königin und lebte glücklich.,Tấm became queen and lived happily.,Tấm devint reine et vécut heureuse.,떰은 왕비가 되어 행복하게 살았어요.,タムは王妃になり幸せに暮らしました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Tấm Cám (2),Tấm đánh rơi vật gì?,,,chiếc giày|chiếc nhẫn|chiếc mũ,1,,question,6,8,Was verlor Tấm?,What did Tấm drop?,Qu'est-ce que Tấm a laissé tomber ?,떰은 무엇을 떨어뜨렸어요?,タムは何を落としましたか。,
Truyện cổ tích và truyền thuyết,🐉,4,Tấm Cám (2),Ai nhặt được chiếc giày?,,,nhà vua|Cám|dì ghẻ,1,,question,6,8,Wer fand den Schuh?,Who found the shoe?,Qui a trouvé la chaussure ?,누가 신발을 주웠어요?,誰が靴を拾いましたか。,
Truyện cổ tích và truyền thuyết,🐉,4,Sơn Tinh và Thủy Tinh,Vua Hùng có nàng công chúa Mị Nương rất xinh đẹp.,,read_quiz order_story fill_word listen_repeat,,,🤴👸,sentence,6,8,"König Hùng hatte eine sehr schöne Tochter, Prinzessin Mị Nương.","King Hùng had a very beautiful daughter, Princess Mị Nương.","Le roi Hùng avait une princesse très belle, Mị Nương.",훙 왕에게는 아주 아름다운 미느엉 공주가 있었어요.,フン王にはとても美しいミー・ヌオン姫がいました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Sơn Tinh và Thủy Tinh,"Sơn Tinh ở trên núi, Thủy Tinh ở dưới biển, cả hai đều đến cầu hôn.",,,,,⛰️🌊,sentence,6,8,Sơn Tinh vom Berg und Thủy Tinh vom Meer hielten beide um ihre Hand an.,Sơn Tinh of the mountains and Thủy Tinh of the sea both came to ask for her hand.,"Sơn Tinh vivait sur la montagne, Thủy Tinh sous la mer, tous deux vinrent la demander en mariage.",산에 사는 선띤과 바다에 사는 투이띤이 둘 다 청혼하러 왔어요.,山に住むソン・ティンと海に住むトゥイ・ティンの二人がプロポーズに来ました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Sơn Tinh và Thủy Tinh,Vua hẹn ai mang lễ vật đến trước sẽ được cưới công chúa.,,,,,🎁🏃,sentence,6,8,"Der König versprach sie dem, der zuerst die Brautgeschenke brächte.",The king promised her to whoever brought the wedding gifts first.,Le roi promit la princesse à celui qui apporterait les cadeaux de mariage en premier.,왕은 예물을 먼저 가져오는 사람과 공주를 결혼시키겠다고 했어요.,王は結納の品を先に持ってきた方に姫を嫁がせると約束しました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Sơn Tinh và Thủy Tinh,Sơn Tinh đến trước và cưới được Mị Nương.,,,,,⛰️💍,sentence,6,8,Sơn Tinh kam zuerst und heiratete Mị Nương.,Sơn Tinh arrived first and married Mị Nương.,Sơn Tinh arriva le premier et épousa Mị Nương.,선띤이 먼저 도착해서 미느엉과 결혼했어요.,ソン・ティンが先に到着し、ミー・ヌオンと結婚しました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Sơn Tinh và Thủy Tinh,"Thủy Tinh tức giận, dâng nước lên đánh Sơn Tinh.",,,,,🌊😠,sentence,6,8,Zornig ließ Thủy Tinh das Wasser steigen und griff Sơn Tinh an.,"Furious, Thủy Tinh raised the water to attack Sơn Tinh.","Furieux, Thủy Tinh fit monter les eaux pour attaquer Sơn Tinh.",화가 난 투이띤은 물을 불려 선띤을 공격했어요.,怒ったトゥイ・ティンは水位を上げてソン・ティンを攻撃しました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Sơn Tinh và Thủy Tinh,"Sơn Tinh làm núi cao lên, nước dâng đến đâu núi cao đến đó.",,,,,🏔️🌊,sentence,6,8,"Sơn Tinh ließ den Berg wachsen: So hoch das Wasser stieg, so hoch wuchs der Berg.","Sơn Tinh made the mountain grow: as high as the water rose, so high the mountain grew.","Sơn Tinh fit grandir la montagne : partout où l'eau montait, la montagne montait aussi.","선띤은 산을 더 높였고, 물이 차오르는 만큼 산도 높아졌어요.",ソン・ティンは山を高くし、水が上がる分だけ山も高くなりました。,decor
Truyện cổ tích và truyền thuyết,🐉,4,Sơn Tinh và Thủy Tinh,Ai đến trước và cưới được công chúa?,,,Sơn Tinh|Thủy Tinh|Lang Liêu,1,,question,6,8,Wer kam zuerst und heiratete die Prinzessin?,Who arrived first and married the princess?,Qui est arrivé le premier et a épousé la princesse ?,누가 먼저 도착해서 공주와 결혼했어요?,誰が先に着いて姫と結婚しましたか。,
Truyện cổ tích và truyền thuyết,🐉,4,Sơn Tinh và Thủy Tinh,Vì sao Thủy Tinh dâng nước lên?,,,vì tức giận|vì vui|vì khát,1,,question,6,8,Warum ließ Thủy Tinh das Wasser steigen?,Why did Thủy Tinh raise the water?,Pourquoi Thủy Tinh a-t-il fait monter les eaux ?,투이띤은 왜 물을 불렸어요?,トゥイ・ティンはなぜ水位を上げましたか。,
"Ca dao, tục ngữ và đồng dao",🎋,4,Tục ngữ: biết ơn và gia đình,Uống nước nhớ nguồn.,,fill_word order_words write_check listen_repeat,,,💧,sentence,6,8,"Wer Wasser trinkt, denkt an die Quelle (sei dankbar).","When you drink water, remember its source (be grateful).","Quand tu bois de l'eau, souviens-toi de sa source (sois reconnaissant).",물을 마실 때 그 근원을 기억하라 (감사할 줄 알아야 한다).,水を飲むときは源を忘れるな（恩を忘れるな）。,decor
"Ca dao, tục ngữ và đồng dao",🎋,4,Tục ngữ: biết ơn và gia đình,Ăn quả nhớ kẻ trồng cây.,,,,,🍎,sentence,6,8,"Wer Früchte isst, denkt an den, der den Baum pflanzte (sei dankbar).","When you eat fruit, remember who planted the tree (be grateful).","Quand tu manges un fruit, souviens-toi de celui qui a planté l'arbre (sois reconnaissant).",열매를 먹을 때 나무를 심은 사람을 기억하라 (감사할 줄 알아야 한다).,実を食べるときは木を植えた人を忘れるな（恩を忘れるな）。,decor
"Ca dao, tục ngữ và đồng dao",🎋,4,Tục ngữ: biết ơn và gia đình,Anh em như thể tay chân.,,,,,🤝,sentence,6,8,Geschwister sind wie Hände und Füße (sie gehören zusammen).,Siblings are like hands and feet (they belong together).,Les frères et sœurs sont comme les mains et les pieds (ils sont inséparables).,형제는 손발과 같다 (서로 떼어놓을 수 없다).,兄弟は手足のようなもの（切っても切れない関係）。,decor
"Ca dao, tục ngữ và đồng dao",🎋,4,Tục ngữ: biết ơn và gia đình,Chị ngã em nâng.,,,,,🤲,sentence,6,8,"Fällt die große Schwester, hebt die kleine sie auf (Geschwister helfen einander).","When big sister falls, little brother lifts her up (siblings help each other).","Quand la grande sœur tombe, le petit frère la relève (les frères et sœurs s'entraident).",언니가 넘어지면 동생이 일으켜준다 (형제는 서로 돕는다).,姉が転べば弟が支える（兄弟は助け合う）。,decor
"Ca dao, tục ngữ và đồng dao",🎋,4,Tục ngữ: biết ơn và gia đình,Kính trên nhường dưới.,,,,,👴,sentence,6,8,"Ältere achten, Jüngeren nachgeben (Respekt und Rücksicht).",Respect your elders and give way to the young.,Respecte tes aînés et cède aux plus jeunes.,윗사람을 공경하고 아랫사람을 배려하라.,年上を敬い、年下に譲る。,decor
"Ca dao, tục ngữ và đồng dao",🎋,4,Tục ngữ: biết ơn và gia đình,Lá lành đùm lá rách.,,,,,🍃,sentence,6,8,Ein heiles Blatt schützt ein zerrissenes (hilf denen in Not).,A whole leaf wraps a torn leaf (help those in need).,Une feuille intacte enveloppe une feuille déchirée (aide ceux qui sont dans le besoin).,성한 잎이 찢어진 잎을 감싸준다 (어려운 사람을 도와야 한다).,健やかな葉が破れた葉を包む（困っている人を助ける）。,decor
"Ca dao, tục ngữ và đồng dao",🎋,4,Tục ngữ: học tập và đoàn kết,"Có công mài sắt, có ngày nên kim.",,fill_word order_words write_check listen_repeat,,,🔨,sentence,6,8,Mit Ausdauer wird aus Eisen eine Nadel (Übung macht den Meister).,"With effort, iron can be ground into a needle (perseverance pays off).","À force de polir le fer, on finit par en faire une aiguille (la persévérance paie).",쇠를 갈고 또 갈면 바늘이 된다 (노력하면 이룬다).,鉄を磨き続ければ針になる（努力は報われる）。,decor
"Ca dao, tục ngữ và đồng dao",🎋,4,Tục ngữ: học tập và đoàn kết,"Đi một ngày đàng, học một sàng khôn.",,,,,🚶,sentence,6,8,Eine Tagesreise bringt einen Korb voll Weisheit.,A day's journey brings a basketful of wisdom.,Un jour de voyage apporte une pleine corbeille de sagesse.,하루 여행하면 한 소쿠리의 지혜를 배운다.,一日旅をすれば、それだけ知恵が増える。,decor
"Ca dao, tục ngữ và đồng dao",🎋,4,Tục ngữ: học tập và đoàn kết,"Học ăn, học nói, học gói, học mở.",,,,,📖,sentence,6,8,"Essen, sprechen, einpacken, öffnen: alles will gelernt sein (gutes Benehmen lernen).","Learn to eat, to speak, to wrap, to open (learn good manners).","Apprendre à manger, à parler, à emballer, à déballer (apprendre les bonnes manières).","먹는 법, 말하는 법, 싸는 법, 여는 법을 배워라 (예절을 배워야 한다).",食べ方、話し方、包み方、開け方を学べ（礼儀を学べ）。,decor
"Ca dao, tục ngữ và đồng dao",🎋,4,Tục ngữ: học tập và đoàn kết,"Một cây làm chẳng nên non, ba cây chụm lại nên hòn núi cao.",,,,,🌳,sentence,6,8,"Ein Baum macht keinen Berg, drei Bäume zusammen einen hohen (Einigkeit macht stark).",One tree does not make a mountain; three together make a tall one (unity is strength).,"Un seul arbre ne fait pas une montagne, mais trois arbres ensemble en font une haute (l'union fait la force).","나무 한 그루로는 산이 안 되지만, 세 그루가 모이면 높은 산이 된다 (단결이 힘이다).",木一本では山にならないが、三本集まれば高い山になる（団結は力なり）。,decor
"Ca dao, tục ngữ và đồng dao",🎋,4,Tục ngữ: học tập và đoàn kết,"Gần mực thì đen, gần đèn thì rạng.",,,,,💡,sentence,6,8,"Nah bei der Tinte wird man schwarz, nah bei der Lampe hell (der Umgang prägt).","Near ink you turn black, near a lamp you shine (you are shaped by company).","Près de l'encre, on devient noir ; près de la lampe, on brille (on est influencé par son entourage).","먹을 가까이하면 검어지고, 등불을 가까이하면 밝아진다 (환경의 영향을 받는다).",墨に近づけば黒くなり、灯りに近づけば明るくなる（環境に影響される）。,decor
"Ca dao, tục ngữ và đồng dao",🎋,4,Tục ngữ: học tập và đoàn kết,Có chí thì nên.,,,,,💪,sentence,6,8,"Wer Willen hat, schafft es.","Where there's a will, there's a way.","Quand on a de la volonté, on réussit.",뜻이 있으면 이룰 수 있다.,志あれば事成る。,decor
"Ca dao, tục ngữ và đồng dao",🎋,4,Ca dao và đồng dao,"Bầu ơi thương lấy bí cùng, tuy rằng khác giống nhưng chung một giàn.",,fill_word order_words write_check listen_repeat,,,🥒,sentence,6,8,"Kürbis, hab die Gurke lieb: verschieden, doch am selben Gitter (Zusammenhalt).","Gourd, love the squash: different kinds, yet on the same trellis (solidarity).","Gourde, aime la courge : espèces différentes, mais sur la même tonnelle (solidarité).","박아, 박아, 호박을 사랑해라, 비록 다른 종이지만 같은 시렁에 있으니 (서로 도와야 한다).",ひょうたんよ、かぼちゃを愛せよ、種類は違えど同じ棚にいるのだから（助け合いの心）。,decor
"Ca dao, tục ngữ và đồng dao",🎋,4,Ca dao và đồng dao,"Con cò bé bé, nó đậu cành tre.",,,,,🦢,sentence,6,8,Der kleine Storch sitzt auf dem Bambuszweig (Kinderreim).,The little stork perches on the bamboo branch (nursery rhyme).,Le petit héron se pose sur la branche de bambou (comptine).,작은 황새가 대나무 가지에 앉았네 (전래동요).,小さなコウノトリが竹の枝に止まった（わらべ歌）。,decor
"Ca dao, tục ngữ và đồng dao",🎋,4,Ca dao và đồng dao,"Lạy trời mưa xuống, lấy nước tôi uống, lấy ruộng tôi cày, lấy đầy bát cơm.",,,,,🌧️,sentence,6,8,"Lieber Himmel, lass es regnen: Wasser zum Trinken, Felder zum Pflügen, eine volle Reisschale.","Dear sky, let the rain fall: water to drink, fields to plough, a full bowl of rice.","Cher ciel, fais tomber la pluie : de l'eau à boire, des champs à labourer, un bol de riz bien rempli.","하늘이시여 비를 내려주소서, 마실 물을 주시고, 갈 밭을 주시고, 가득 찬 밥그릇을 주소서.",空よ、雨を降らせておくれ、飲む水を、耕す田を、いっぱいのご飯を。,decor
"Ca dao, tục ngữ và đồng dao",🎋,4,Ca dao và đồng dao,"Dung dăng dung dẻ, dắt trẻ đi chơi.",,,,,🧒,sentence,6,8,"Hüpf, hüpf, hüpf: wir führen die Kinder zum Spielen (Kinderreim).","Skip along, skip along, leading the children out to play (nursery rhyme).","Dung dăng dung dẻ, on emmène les enfants jouer (comptine).","둥당둥당, 아이들 손잡고 놀러 가요 (전래동요).",ドゥンザンドゥンゼー、子供たちの手を引いて遊びに行く（わらべ歌）。,decor
"Ca dao, tục ngữ và đồng dao",🎋,4,Ca dao và đồng dao,"Con gà cục tác lá chanh, con lợn ủn ỉn mua hành cho ta.",,,,,🐔,sentence,6,8,"Das Huhn gackert beim Zitronenblatt, das Schwein grunzt: kauf mir Zwiebeln (Kinderreim).","The hen clucks by the lime leaf, the pig grunts: buy me spring onions (nursery rhyme).","La poule glousse près de la feuille de citronnier, le cochon grogne : achète-moi des oignons verts (comptine).","닭은 레몬잎 옆에서 꼬꼬댁, 돼지는 꿀꿀거리며 파를 사달라 하네 (전래동요).",鶏はレモンの葉のそばでコッコッ、豚はブーブー言ってネギを買ってと言う（わらべ歌）。,decor
Viết đúng chính tả,✍️,4,Viết hoa đầu câu và tên riêng,Hà Nội là thủ đô của Việt Nam.,,write_check fill_word order_words listen_repeat,,,🏛️,sentence,6,8,Hanoi ist die Hauptstadt von Vietnam.,Hanoi is the capital of Vietnam.,Hanoï est la capitale du Vietnam.,하노이는 베트남의 수도예요.,ハノイはベトナムの首都です。,decor
Viết đúng chính tả,✍️,4,Viết hoa đầu câu và tên riêng,Nam chơi bóng với Bình.,,,,,⚽,sentence,6,8,Nam spielt mit Bình Fußball.,Nam plays ball with Bình.,Nam joue au ballon avec Bình.,남은 빈과 공을 가지고 놀아요.,ナムはビンとボール遊びをします。,decor
