ưu tiên,loại,cấp,chủ đề,bài,chữ tiếng Việt,emoji hiện tại,mô tả gợi ý cho người vẽ,tên file gợi ý
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Thánh Gióng (2),"Ngựa sắt phun lửa, chàng đánh tan quân giặc.",🐴🔥,"Tranh minh hoạ cho câu: “Ngựa sắt phun lửa, chàng đánh tan quân giặc.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",ngua-sat-phun-lua-chang-danh-tan-quan-giac.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Thánh Gióng (2),"Roi sắt gãy, chàng nhổ những bụi tre bên đường làm vũ khí.",🎋⚔️,"Tranh minh hoạ cho câu: “Roi sắt gãy, chàng nhổ những bụi tre bên đường làm vũ khí.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",roi-sat-gay-chang-nho-nhung-bui-tre-ben-duong-lam-vu-khi.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Thánh Gióng (2),"Thắng giặc, chàng cưỡi ngựa bay về trời.",🐴☁️,"Tranh minh hoạ cho câu: “Thắng giặc, chàng cưỡi ngựa bay về trời.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",thang-giac-chang-cuoi-ngua-bay-ve-troi.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Thánh Gióng (2),"Dân ta nhớ ơn, gọi chàng là Thánh Gióng.",🙏,"Tranh minh hoạ cho câu: “Dân ta nhớ ơn, gọi chàng là Thánh Gióng.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",dan-ta-nho-on-goi-chang-la-thanh-giong.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Sự tích Hồ Gươm,"Ngày xưa, giặc Minh sang cướp nước ta.",⚔️🏹,"Tranh minh hoạ cho câu: “Ngày xưa, giặc Minh sang cướp nước ta.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",ngay-xua-giac-minh-sang-cuop-nuoc-ta.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Sự tích Hồ Gươm,Lê Lợi nổi dậy đánh giặc.,🧑🚩,"Tranh minh hoạ cho câu: “Lê Lợi nổi dậy đánh giặc.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",le-loi-noi-day-danh-giac.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Sự tích Hồ Gươm,Long Quân cho ông mượn một thanh gươm thần.,🐉🗡️,"Tranh minh hoạ cho câu: “Long Quân cho ông mượn một thanh gươm thần.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",long-quan-cho-ong-muon-mot-thanh-guom-than.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Sự tích Hồ Gươm,"Nhờ gươm thần, quân ta đánh thắng giặc.",🗡️🏆,"Tranh minh hoạ cho câu: “Nhờ gươm thần, quân ta đánh thắng giặc.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",nho-guom-than-quan-ta-danh-thang-giac.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Sự tích Hồ Gươm,"Sau chiến thắng, Rùa Vàng nổi lên đòi lại gươm.",🐢🌊,"Tranh minh hoạ cho câu: “Sau chiến thắng, Rùa Vàng nổi lên đòi lại gươm.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",sau-chien-thang-rua-vang-noi-len-doi-lai-guom.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Sự tích Hồ Gươm,"Lê Lợi trả gươm, hồ được gọi là Hồ Gươm.",🏞️🗡️,"Tranh minh hoạ cho câu: “Lê Lợi trả gươm, hồ được gọi là Hồ Gươm.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",le-loi-tra-guom-ho-duoc-goi-la-ho-guom.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Con Rồng cháu Tiên,Lạc Long Quân là rồng ở dưới biển.,🐉🌊,"Tranh minh hoạ cho câu: “Lạc Long Quân là rồng ở dưới biển.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",lac-long-quan-la-rong-o-duoi-bien.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Con Rồng cháu Tiên,Âu Cơ là tiên ở trên núi.,🧚⛰️,"Tranh minh hoạ cho câu: “Âu Cơ là tiên ở trên núi.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",au-co-la-tien-o-tren-nui.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Con Rồng cháu Tiên,Hai người gặp nhau và kết thành vợ chồng.,💑,"Tranh minh hoạ cho câu: “Hai người gặp nhau và kết thành vợ chồng.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",hai-nguoi-gap-nhau-va-ket-thanh-vo-chong.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Con Rồng cháu Tiên,"Âu Cơ sinh ra một bọc trăm trứng, nở ra một trăm người con.",🥚💯,"Tranh minh hoạ cho câu: “Âu Cơ sinh ra một bọc trăm trứng, nở ra một trăm người con.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",au-co-sinh-ra-mot-boc-tram-trung-no-ra-mot-tram-nguoi-con.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Con Rồng cháu Tiên,"Năm mươi người con theo cha xuống biển, năm mươi người con theo mẹ lên núi.",🌊⛰️,"Tranh minh hoạ cho câu: “Năm mươi người con theo cha xuống biển, năm mươi người con theo mẹ lên núi.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",nam-muoi-nguoi-con-theo-cha-xuong-bien-nam-muoi-nguoi-con-theo-me-len-nui.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Con Rồng cháu Tiên,"Người con cả lên làm vua, gọi là Hùng Vương.",🤴👑,"Tranh minh hoạ cho câu: “Người con cả lên làm vua, gọi là Hùng Vương.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",nguoi-con-ca-len-lam-vua-goi-la-hung-vuong.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Tấm Cám (1),"Ngày xưa, có cô Tấm mồ côi cả cha lẫn mẹ.",👧😢,"Tranh minh hoạ cho câu: “Ngày xưa, có cô Tấm mồ côi cả cha lẫn mẹ.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",ngay-xua-co-co-tam-mo-coi-ca-cha-lan-me.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Tấm Cám (1),"Tấm sống với dì ghẻ và Cám, con của dì.",👧👩,"Tranh minh hoạ cho câu: “Tấm sống với dì ghẻ và Cám, con của dì.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",tam-song-voi-di-ghe-va-cam-con-cua-di.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Tấm Cám (1),Dì ghẻ bắt Tấm làm việc suốt ngày.,👧🧹,"Tranh minh hoạ cho câu: “Dì ghẻ bắt Tấm làm việc suốt ngày.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",di-ghe-bat-tam-lam-viec-suot-ngay.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Tấm Cám (1),Còn Cám thì được ăn ngon và chơi cả ngày.,👧🍰,"Tranh minh hoạ cho câu: “Còn Cám thì được ăn ngon và chơi cả ngày.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",con-cam-thi-duoc-an-ngon-va-choi-ca-ngay.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Tấm Cám (1),"Mỗi khi Tấm khóc, Bụt lại hiện lên giúp đỡ.",🧙✨,"Tranh minh hoạ cho câu: “Mỗi khi Tấm khóc, Bụt lại hiện lên giúp đỡ.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",moi-khi-tam-khoc-but-lai-hien-len-giup-do.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Tấm Cám (2),"Nhờ Bụt, Tấm có quần áo đẹp để đi xem hội.",👗✨,"Tranh minh hoạ cho câu: “Nhờ Bụt, Tấm có quần áo đẹp để đi xem hội.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",nho-but-tam-co-quan-ao-dep-de-di-xem-hoi.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Tấm Cám (2),"Trên đường chạy về, Tấm đánh rơi một chiếc giày.",🏃👟,"Tranh minh hoạ cho câu: “Trên đường chạy về, Tấm đánh rơi một chiếc giày.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",tren-duong-chay-ve-tam-danh-roi-mot-chiec-giay.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Tấm Cám (2),Nhà vua nhặt được giày và cho người đi tìm chủ nhân.,🤴🔍,"Tranh minh hoạ cho câu: “Nhà vua nhặt được giày và cho người đi tìm chủ nhân.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",nha-vua-nhat-duoc-giay-va-cho-nguoi-di-tim-chu-nhan.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Tấm Cám (2),Chiếc giày vừa vặn với chân Tấm.,🦶👟,"Tranh minh hoạ cho câu: “Chiếc giày vừa vặn với chân Tấm.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",chiec-giay-vua-van-voi-chan-tam.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Tấm Cám (2),"Tấm trở thành hoàng hậu, sống hạnh phúc.",👸💖,"Tranh minh hoạ cho câu: “Tấm trở thành hoàng hậu, sống hạnh phúc.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",tam-tro-thanh-hoang-hau-song-hanh-phuc.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Sơn Tinh và Thủy Tinh,Vua Hùng có nàng công chúa Mị Nương rất xinh đẹp.,🤴👸,"Tranh minh hoạ cho câu: “Vua Hùng có nàng công chúa Mị Nương rất xinh đẹp.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",vua-hung-co-nang-cong-chua-mi-nuong-rat-xinh-dep.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Sơn Tinh và Thủy Tinh,"Sơn Tinh ở trên núi, Thủy Tinh ở dưới biển, cả hai đều đến cầu hôn.",⛰️🌊,"Tranh minh hoạ cho câu: “Sơn Tinh ở trên núi, Thủy Tinh ở dưới biển, cả hai đều đến cầu hôn.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",son-tinh-o-tren-nui-thuy-tinh-o-duoi-bien-ca-hai-deu-den-cau-hon.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Sơn Tinh và Thủy Tinh,Vua hẹn ai mang lễ vật đến trước sẽ được cưới công chúa.,🎁🏃,"Tranh minh hoạ cho câu: “Vua hẹn ai mang lễ vật đến trước sẽ được cưới công chúa.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",vua-hen-ai-mang-le-vat-den-truoc-se-duoc-cuoi-cong-chua.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Sơn Tinh và Thủy Tinh,Sơn Tinh đến trước và cưới được Mị Nương.,⛰️💍,"Tranh minh hoạ cho câu: “Sơn Tinh đến trước và cưới được Mị Nương.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",son-tinh-den-truoc-va-cuoi-duoc-mi-nuong.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Sơn Tinh và Thủy Tinh,"Thủy Tinh tức giận, dâng nước lên đánh Sơn Tinh.",🌊😠,"Tranh minh hoạ cho câu: “Thủy Tinh tức giận, dâng nước lên đánh Sơn Tinh.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",thuy-tinh-tuc-gian-dang-nuoc-len-danh-son-tinh.png
2,Cảnh câu/truyện,4,Truyện cổ tích và truyền thuyết,Sơn Tinh và Thủy Tinh,"Sơn Tinh làm núi cao lên, nước dâng đến đâu núi cao đến đó.",🏔️🌊,"Tranh minh hoạ cho câu: “Sơn Tinh làm núi cao lên, nước dâng đến đâu núi cao đến đó.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",son-tinh-lam-nui-cao-len-nuoc-dang-den-dau-nui-cao-den-do.png
2,Cảnh câu/truyện,4,"Ca dao, tục ngữ và đồng dao",Tục ngữ: biết ơn và gia đình,Uống nước nhớ nguồn.,💧,"Tranh minh hoạ cho câu: “Uống nước nhớ nguồn.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",uong-nuoc-nho-nguon.png
2,Cảnh câu/truyện,4,"Ca dao, tục ngữ và đồng dao",Tục ngữ: biết ơn và gia đình,Ăn quả nhớ kẻ trồng cây.,🍎,"Tranh minh hoạ cho câu: “Ăn quả nhớ kẻ trồng cây.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",an-qua-nho-ke-trong-cay.png
2,Cảnh câu/truyện,4,"Ca dao, tục ngữ và đồng dao",Tục ngữ: biết ơn và gia đình,Anh em như thể tay chân.,🤝,"Tranh minh hoạ cho câu: “Anh em như thể tay chân.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",anh-em-nhu-the-tay-chan.png
2,Cảnh câu/truyện,4,"Ca dao, tục ngữ và đồng dao",Tục ngữ: biết ơn và gia đình,Chị ngã em nâng.,🤲,"Tranh minh hoạ cho câu: “Chị ngã em nâng.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",chi-nga-em-nang.png
2,Cảnh câu/truyện,4,"Ca dao, tục ngữ và đồng dao",Tục ngữ: biết ơn và gia đình,Kính trên nhường dưới.,👴,"Tranh minh hoạ cho câu: “Kính trên nhường dưới.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",kinh-tren-nhuong-duoi.png
2,Cảnh câu/truyện,4,"Ca dao, tục ngữ và đồng dao",Tục ngữ: biết ơn và gia đình,Lá lành đùm lá rách.,🍃,"Tranh minh hoạ cho câu: “Lá lành đùm lá rách.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",la-lanh-dum-la-rach.png
2,Cảnh câu/truyện,4,"Ca dao, tục ngữ và đồng dao",Tục ngữ: học tập và đoàn kết,"Có công mài sắt, có ngày nên kim.",🔨,"Tranh minh hoạ cho câu: “Có công mài sắt, có ngày nên kim.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",co-cong-mai-sat-co-ngay-nen-kim.png
2,Cảnh câu/truyện,4,"Ca dao, tục ngữ và đồng dao",Tục ngữ: học tập và đoàn kết,"Đi một ngày đàng, học một sàng khôn.",🚶,"Tranh minh hoạ cho câu: “Đi một ngày đàng, học một sàng khôn.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",di-mot-ngay-dang-hoc-mot-sang-khon.png
2,Cảnh câu/truyện,4,"Ca dao, tục ngữ và đồng dao",Tục ngữ: học tập và đoàn kết,"Học ăn, học nói, học gói, học mở.",📖,"Tranh minh hoạ cho câu: “Học ăn, học nói, học gói, học mở.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",hoc-an-hoc-noi-hoc-goi-hoc-mo.png
2,Cảnh câu/truyện,4,"Ca dao, tục ngữ và đồng dao",Tục ngữ: học tập và đoàn kết,"Một cây làm chẳng nên non, ba cây chụm lại nên hòn núi cao.",🌳,"Tranh minh hoạ cho câu: “Một cây làm chẳng nên non, ba cây chụm lại nên hòn núi cao.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",mot-cay-lam-chang-nen-non-ba-cay-chum-lai-nen-hon-nui-cao.png
2,Cảnh câu/truyện,4,"Ca dao, tục ngữ và đồng dao",Tục ngữ: học tập và đoàn kết,"Gần mực thì đen, gần đèn thì rạng.",💡,"Tranh minh hoạ cho câu: “Gần mực thì đen, gần đèn thì rạng.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",gan-muc-thi-den-gan-den-thi-rang.png
2,Cảnh câu/truyện,4,"Ca dao, tục ngữ và đồng dao",Tục ngữ: học tập và đoàn kết,Có chí thì nên.,💪,"Tranh minh hoạ cho câu: “Có chí thì nên.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",co-chi-thi-nen.png
2,Cảnh câu/truyện,4,"Ca dao, tục ngữ và đồng dao",Ca dao và đồng dao,"Bầu ơi thương lấy bí cùng, tuy rằng khác giống nhưng chung một giàn.",🥒,"Tranh minh hoạ cho câu: “Bầu ơi thương lấy bí cùng, tuy rằng khác giống nhưng chung một giàn.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",bau-oi-thuong-lay-bi-cung-tuy-rang-khac-giong-nhung-chung-mot-gian.png
2,Cảnh câu/truyện,4,"Ca dao, tục ngữ và đồng dao",Ca dao và đồng dao,"Con cò bé bé, nó đậu cành tre.",🦢,"Tranh minh hoạ cho câu: “Con cò bé bé, nó đậu cành tre.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",con-co-be-be-no-dau-canh-tre.png
2,Cảnh câu/truyện,4,"Ca dao, tục ngữ và đồng dao",Ca dao và đồng dao,"Lạy trời mưa xuống, lấy nước tôi uống, lấy ruộng tôi cày, lấy đầy bát cơm.",🌧️,"Tranh minh hoạ cho câu: “Lạy trời mưa xuống, lấy nước tôi uống, lấy ruộng tôi cày, lấy đầy bát cơm.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",lay-troi-mua-xuong-lay-nuoc-toi-uong-lay-ruong-toi-cay-lay-day-bat-com.png
2,Cảnh câu/truyện,4,"Ca dao, tục ngữ và đồng dao",Ca dao và đồng dao,"Dung dăng dung dẻ, dắt trẻ đi chơi.",🧒,"Tranh minh hoạ cho câu: “Dung dăng dung dẻ, dắt trẻ đi chơi.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",dung-dang-dung-de-dat-tre-di-choi.png
2,Cảnh câu/truyện,4,"Ca dao, tục ngữ và đồng dao",Ca dao và đồng dao,"Con gà cục tác lá chanh, con lợn ủn ỉn mua hành cho ta.",🐔,"Tranh minh hoạ cho câu: “Con gà cục tác lá chanh, con lợn ủn ỉn mua hành cho ta.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",con-ga-cuc-tac-la-chanh-con-lon-un-in-mua-hanh-cho-ta.png
2,Cảnh câu/truyện,4,Viết đúng chính tả,Viết hoa đầu câu và tên riêng,Hà Nội là thủ đô của Việt Nam.,🏛️,"Tranh minh hoạ cho câu: “Hà Nội là thủ đô của Việt Nam.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",ha-noi-la-thu-do-cua-viet-nam.png
2,Cảnh câu/truyện,4,Viết đúng chính tả,Viết hoa đầu câu và tên riêng,Nam chơi bóng với Bình.,⚽,"Tranh minh hoạ cho câu: “Nam chơi bóng với Bình.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",nam-choi-bong-voi-binh.png
2,Cảnh câu/truyện,4,Viết đúng chính tả,Viết hoa đầu câu và tên riêng,Mai đọc sách ở thư viện.,📚,"Tranh minh hoạ cho câu: “Mai đọc sách ở thư viện.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",mai-doc-sach-o-thu-vien.png
2,Cảnh câu/truyện,4,Viết đúng chính tả,Viết hoa đầu câu và tên riêng,Sông Hồng chảy qua Hà Nội.,🏞️,"Tranh minh hoạ cho câu: “Sông Hồng chảy qua Hà Nội.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",song-hong-chay-qua-ha-noi.png
2,Cảnh câu/truyện,4,Viết đúng chính tả,Viết hoa đầu câu và tên riêng,Bà kể chuyện cho Lan nghe.,👵,"Tranh minh hoạ cho câu: “Bà kể chuyện cho Lan nghe.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",ba-ke-chuyen-cho-lan-nghe.png
2,Cảnh câu/truyện,4,Viết đúng chính tả,Viết hoa đầu câu và tên riêng,Huế có nhiều cung điện cổ.,🏯,"Tranh minh hoạ cho câu: “Huế có nhiều cung điện cổ.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",hue-co-nhieu-cung-dien-co.png
2,Cảnh câu/truyện,4,Viết đúng chính tả,"Dấu câu: chấm, chấm hỏi, chấm than",Trời mưa rồi.,🌧️,"Tranh minh hoạ cho câu: “Trời mưa rồi.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",troi-mua-roi.png
2,Cảnh câu/truyện,4,Viết đúng chính tả,"Dấu câu: chấm, chấm hỏi, chấm than",Con đang làm gì?,🤔,"Tranh minh hoạ cho câu: “Con đang làm gì?” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",con-dang-lam-gi.png
2,Cảnh câu/truyện,4,Viết đúng chính tả,"Dấu câu: chấm, chấm hỏi, chấm than","Ôi, bông hoa đẹp quá!",🌸,"Tranh minh hoạ cho câu: “Ôi, bông hoa đẹp quá!” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",oi-bong-hoa-dep-qua.png
2,Cảnh câu/truyện,4,Viết đúng chính tả,"Dấu câu: chấm, chấm hỏi, chấm than",Bạn tên là gì?,🙋,"Tranh minh hoạ cho câu: “Bạn tên là gì?” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",ban-ten-la-gi.png
2,Cảnh câu/truyện,4,Viết đúng chính tả,"Dấu câu: chấm, chấm hỏi, chấm than",Cẩn thận nhé!,⚠️,"Tranh minh hoạ cho câu: “Cẩn thận nhé!” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",can-than-nhe.png
2,Cảnh câu/truyện,4,Viết đúng chính tả,"Dấu câu: chấm, chấm hỏi, chấm than","Mẹ mua cam, táo và chuối.",🍎,"Tranh minh hoạ cho câu: “Mẹ mua cam, táo và chuối.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",me-mua-cam-tao-va-chuoi.png
2,Cảnh câu/truyện,4,Viết đúng chính tả,"Dấu câu: chấm, chấm hỏi, chấm than",Con có khỏe không?,😊,"Tranh minh hoạ cho câu: “Con có khỏe không?” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",con-co-khoe-khong.png
1,Đặc trưng Việt Nam,4,Viết đúng chính tả,"Chính tả: c, k, q, g, gh, ng, ngh",nghé,🐃,"Hình minh hoạ đúng thực tế Việt Nam: “nghé”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",nghe-4.png
1,Đặc trưng Việt Nam,4,Viết đúng chính tả,"Chính tả: ch, tr, s, x, d, gi, r",xôi,🍙,"Hình minh hoạ đúng thực tế Việt Nam: “xôi”. Nền trong suốt, một chủ thể, phong cách chung cho cả bộ.",xoi-3.png
3,Từ trừu tượng,4,Từ chỉ hoạt động và đặc điểm,Từ chỉ hoạt động,nhảy,🤸,"Hình thể hiện rõ nghĩa của từ “nhảy” (có thể là cặp tương phản, vd to ↔ nhỏ).",nhay.png
3,Từ trừu tượng,4,Từ chỉ hoạt động và đặc điểm,Từ chỉ hoạt động,bơi,🏊,"Hình thể hiện rõ nghĩa của từ “bơi” (có thể là cặp tương phản, vd to ↔ nhỏ).",boi.png
3,Từ trừu tượng,4,Từ chỉ hoạt động và đặc điểm,Từ chỉ hoạt động,viết,✍️,"Hình thể hiện rõ nghĩa của từ “viết” (có thể là cặp tương phản, vd to ↔ nhỏ).",viet.png
3,Từ trừu tượng,4,Từ chỉ hoạt động và đặc điểm,Từ chỉ hoạt động,đọc,📖,"Hình thể hiện rõ nghĩa của từ “đọc” (có thể là cặp tương phản, vd to ↔ nhỏ).",doc.png
3,Từ trừu tượng,4,Từ chỉ hoạt động và đặc điểm,Từ chỉ hoạt động,hát,🎤,"Hình thể hiện rõ nghĩa của từ “hát” (có thể là cặp tương phản, vd to ↔ nhỏ).",hat.png
3,Từ trừu tượng,4,Từ chỉ hoạt động và đặc điểm,Từ chỉ hoạt động,múa,💃,"Hình thể hiện rõ nghĩa của từ “múa” (có thể là cặp tương phản, vd to ↔ nhỏ).",mua.png
3,Từ trừu tượng,4,Từ chỉ hoạt động và đặc điểm,Từ chỉ hoạt động,cười,😄,"Hình thể hiện rõ nghĩa của từ “cười” (có thể là cặp tương phản, vd to ↔ nhỏ).",cuoi.png
3,Từ trừu tượng,4,Từ chỉ hoạt động và đặc điểm,Từ chỉ hoạt động,khóc,😢,"Hình thể hiện rõ nghĩa của từ “khóc” (có thể là cặp tương phản, vd to ↔ nhỏ).",khoc.png
3,Từ trừu tượng,4,Từ chỉ hoạt động và đặc điểm,Từ chỉ đặc điểm,to,🐘,"Hình thể hiện rõ nghĩa của từ “to” (có thể là cặp tương phản, vd to ↔ nhỏ).",to.png
3,Từ trừu tượng,4,Từ chỉ hoạt động và đặc điểm,Từ chỉ đặc điểm,nhỏ,🐜,"Hình thể hiện rõ nghĩa của từ “nhỏ” (có thể là cặp tương phản, vd to ↔ nhỏ).",nho.png
3,Từ trừu tượng,4,Từ chỉ hoạt động và đặc điểm,Từ chỉ đặc điểm,cao,🦒,"Hình thể hiện rõ nghĩa của từ “cao” (có thể là cặp tương phản, vd to ↔ nhỏ).",cao.png
3,Từ trừu tượng,4,Từ chỉ hoạt động và đặc điểm,Từ chỉ đặc điểm,nhanh,🐆,"Hình thể hiện rõ nghĩa của từ “nhanh” (có thể là cặp tương phản, vd to ↔ nhỏ).",nhanh.png
3,Từ trừu tượng,4,Từ chỉ hoạt động và đặc điểm,Từ chỉ đặc điểm,chậm,🐌,"Hình thể hiện rõ nghĩa của từ “chậm” (có thể là cặp tương phản, vd to ↔ nhỏ).",cham.png
3,Từ trừu tượng,4,Từ chỉ hoạt động và đặc điểm,Từ chỉ đặc điểm,nóng,🥵,"Hình thể hiện rõ nghĩa của từ “nóng” (có thể là cặp tương phản, vd to ↔ nhỏ).",nong.png
3,Từ trừu tượng,4,Từ chỉ hoạt động và đặc điểm,Từ chỉ đặc điểm,lạnh,🥶,"Hình thể hiện rõ nghĩa của từ “lạnh” (có thể là cặp tương phản, vd to ↔ nhỏ).",lanh.png
3,Từ trừu tượng,4,Từ chỉ hoạt động và đặc điểm,Từ chỉ đặc điểm,sáng,☀️,"Hình thể hiện rõ nghĩa của từ “sáng” (có thể là cặp tương phản, vd to ↔ nhỏ).",sang.png
2,Cảnh câu/truyện,4,Từ chỉ hoạt động và đặc điểm,Đặt câu với từ chỉ đặc điểm,Con báo chạy rất nhanh.,🐆,"Tranh minh hoạ cho câu: “Con báo chạy rất nhanh.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",con-bao-chay-rat-nhanh.png
2,Cảnh câu/truyện,4,Từ chỉ hoạt động và đặc điểm,Đặt câu với từ chỉ đặc điểm,Con ốc sên bò rất chậm.,🐌,"Tranh minh hoạ cho câu: “Con ốc sên bò rất chậm.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",con-oc-sen-bo-rat-cham.png
2,Cảnh câu/truyện,4,Từ chỉ hoạt động và đặc điểm,Đặt câu với từ chỉ đặc điểm,Con voi rất to.,🐘⬆️,"Tranh minh hoạ cho câu: “Con voi rất to.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",con-voi-rat-to.png
2,Cảnh câu/truyện,4,Từ chỉ hoạt động và đặc điểm,Đặt câu với từ chỉ đặc điểm,Con kiến rất nhỏ.,🐜🔬,"Tranh minh hoạ cho câu: “Con kiến rất nhỏ.” (thể hiện ai đang làm gì, ở đâu). Không chữ trong tranh.",con-kien-rat-nho.png
